Rank,Domain,Share,Country
1,google.pl,72.07%,"Poland
"
1,google.bg,68.87%,"Bulgaria
"
1,google.it,68.02%,"Italy
"
1,google.ro,67.27%,"Romania
"
1,google.com.eg,66.57%,"Egypt
"
1,google.gr,65.65%,"Greece
"
1,google.com.ar,65.48%,"Argentina
"
1,google.at,65.45%,"Austria
"
1,google.hr,65.08%,"Croatia
"
1,google.com.br,64.10%,"Brazil
"
1,google.com.mx,63.52%,"Mexico
"
1,google.de,63.24%,"Germany
"
1,google.rs,63.02%,"Serbia
"
1,google.com.pe,62.99%,"Peru
"
1,yandex.ru,62.40%,"Russia
"
1,google.fr,61.77%,"France
"
1,google.co.th,61.62%,"Thailand
"
1,google.be,60.91%,"Belgium
"
1,google.co.ve,60.53%,"Venezuela
"
1,google.es,60.40%,"Spain
"
1,google.hu,60.02%,"Hungary
"
1,google.pt,59.95%,"Portugal
"
1,google.cz,59.94%,Czech
1,google.co.uk,59.76%,United
1,google.com.tw,59.23%,"Taiwan
"
1,google.com.tr,58.19%,"Turkey
"
1,google.ch,57.82%,"Switzerland
"
1,google.sk,56.94%,"Slovakia
"
1,google.com.au,56.73%,"Australia
"
1,google.co.jp,56.68%,"Japan
"
1,google.no,56.56%,"Norway
"
1,google.ca,56.37%,"Canada
"
1,google.iq,56.34%,"Iraq
"
1,google.cl,55.03%,"Chile
"
1,google.se,54.57%,"Sweden
"
1,google.co.nz,53.32%,New
1,google.com.pk,53.15%,"Pakistan
"
1,google.dk,53.14%,"Denmark
"
1,google.com.sa,52.43%,Saudi
1,google.com.co,51.68%,"Colombia
"
1,google.com.ph,51.55%,"Philippines
"
1,google.nl,50.76%,"Netherlands
"
1,google.co.za,50.72%,South
1,google.ae,50.48%,United
1,google.ie,50.09%,"Ireland
"
1,google.co.in,49.65%,"India
"
1,google.com.kw,49.59%,"Kuwait
"
1,google.com.sg,49.08%,"Singapore
"
1,google.co.il,48.86%,"Israel
"
1,google.com.hk,46.92%,Hong
2,google.co.id,44.71%,"Indonesia
"
1,google.com.ua,42.94%,"Ukraine
"
2,google.fi,32.85%,"Finland
"
2,yandex.ua,25.76%,"Ukraine
"
2,google.ru,24.12%,"Russia
"
2,google.com.vn,17.57%,"Vietnam
"
2,google.com.my,17.41%,"Malaysia
"
3,yandex.com.tr,10.73%,"Turkey
"
2,google.com.qa,9.15%,"Qatar
"
2,google.co.ma,8.83%,"Morocco
"
3,google.fr,7.86%,"Morocco
"
3,hao123.com,6.75%,"Thailand
"
3,coccoc.com,5.57%,"Vietnam
"
4,yandex.ru,5.35%,"Ukraine
"
5,google.ru,4.82%,"Ukraine
"
3,so.com,4.42%,"China
"
2,yandex.ru,4.29%,"WorldWide
"
3,hao123.com,3.81%,"Egypt
"
4,google.com.hk,3.70%,"China
"
3,google.com.br,3.64%,"WorldWide
"
3,atlas.sk,3.26%,"Slovakia
"
5,hao123.com,3.22%,"China
"
3,google.de,3.12%,"Austria
"
3,google.es,2.88%,"Colombia
"
3,google.com.iq,2.82%,"Iraq
"
4,google.co.uk,2.74%,"WorldWide
"
7,sogou.com,2.69%,"China
"
6,google.fr,2.50%,"WorldWide
"
7,google.co.in,2.48%,"WorldWide
"
3,search.ch,2.39%,"Switzerland
"
8,google.cn,2.28%,"China
"
8,google.co.jp,2.17%,"WorldWide
"
9,google.de,2.10%,"WorldWide
"
3,google.fr,2.04%,"Belgium
"
4,google.de,2.01%,"Switzerland
"
10,google.ru,1.84%,"WorldWide
"
11,google.pl,1.77%,"WorldWide
"
9,soku.com,1.66%,"China
"
12,google.com.tr,1.59%,"WorldWide
"
3,blogspot.ae,1.53%,United
14,google.es,1.46%,"WorldWide
"
4,cliponyu.com,1.45%,"Indonesia
"
4,google.es,1.43%,"Venezuela
"
15,google.it,1.38%,"WorldWide
"
16,google.com.mx,1.37%,"WorldWide
"
17,google.ca,1.36%,"WorldWide
"
3,fonecta.fi,1.35%,"Finland
"
3,yandex.ru,1.35%,"Netherlands
"
4,hao123.com,1.35%,Saudi
4,yandex.ru,1.33%,"Turkey
"
5,google.fr,1.29%,"Switzerland
"
3,google.es,1.25%,"Peru
"
5,google.ae,1.19%,"Iraq
"
10,google.co.jp,1.13%,"China
"
3,google.ru,1.13%,"Israel
"
3,seesaa.net,1.07%,"Japan
"
18,google.com.ar,1.06%,"WorldWide
"
4,google.co.in,1.05%,United
4,google.co.in,1.05%,"Qatar
"
